14/03/2017 15:00:29|0,00085250|1,06312|0,875347|100.345

14/03/2017 16:51:00|0,00084653|1,06378|0,875184
14/03/2017 16:51:37|0,00085028|1,06398|0,875174
14/03/2017 16:51:45|0,00085028|1,06398|0,875174
14/03/2017 16:51:53|0,00085028|1,06378|0,875184
14/03/2017 16:52:42|0,00084968|1,06399|0,875163
14/03/2017 16:57:38|0,00085123|1,06403|0,875120
14/03/2017 17:00:18|0,00085127|1,06450|0,874731
14/03/2017 17:00:42|0,00085127|1,06450|0,874731
14/03/2017 17:01:18|0,00085212|1,06456|0,874956
14/03/2017 17:01:31|0,00085212|1,06456|0,874956
14/03/2017 17:01:57|0,00085212|1,06456|0,874731
14/03/2017 17:03:48|0,00085289|1,06460|0,875036
14/03/2017 17:05:00|0,00085331|1,06445|0,874984
14/03/2017 17:05:32|0,00085367|1,06429|0,875031
14/03/2017 19:03:45|0,00084582|1,06187|0,873328
14/03/2017 19:13:13|0,00084611|1,06172|0,873354
14/03/2017 19:16:18|0,00084617|1,06188|0,873071
14/03/2017 19:19:42|0,00084641|1,06199|0,873072
14/03/2017 19:21:19|0,00084614|1,06188|0,873278
14/03/2017 19:22:03|0,00084614|1,06188|0,873278
15/03/2017 08:29:10|0,00084997|1,06275|0,869671
15/03/2017 08:34:17|0,00084868|1,06309|0,869836
15/03/2017 08:34:53|0,00084868|1,06309|0,869836
15/03/2017 08:38:02|0,00084921|1,06336|0,870571
15/03/2017 08:39:37|0,00084939|1,06344|0,870484
